date,AWND,PRCP,TMAX,TMIN,daily_consumption
2007-08-02,1.3,0.0,33.3,23.9,1019.416
2007-08-03,2.0,29.2,32.2,18.9,1063.364
2007-08-04,1.3,0.3,31.7,20.6,1144.99
2007-08-05,2.5,0.0,29.4,21.1,787.098
2007-08-06,1.4,0.0,28.3,22.2,1089.72
2007-08-07,0.7,0.0,31.7,23.9,1483.58
2007-08-08,2.4,63.5,32.2,22.8,1125.482
2007-08-09,2.0,0.0,28.3,22.2,1071.68
2007-08-10,3.2,32.5,22.2,13.9,1028.01
2007-08-11,1.5,0.0,27.2,13.9,1091.65
2007-08-12,1.0,0.0,29.4,20.0,1241.904
2007-08-13,2.3,1.0,28.9,21.1,1153.012
2007-08-14,1.3,0.0,27.2,18.3,941.19
2007-08-15,2.3,0.0,28.9,19.4,1191.86
2007-08-16,1.2,0.3,28.3,23.3,958.496
2007-08-17,1.4,18.8,29.4,16.7,1009.892
2007-08-18,2.6,0.0,23.3,15.0,347.96
2007-08-19,0.5,3.0,21.7,15.6,1422.294
2007-08-20,3.1,1.5,20.6,14.4,1338.842
2007-08-21,3.4,32.3,15.0,13.3,642.556
2007-08-22,1.6,0.0,18.3,13.3,1209.808
2007-08-23,0.6,0.0,23.9,16.7,1112.312
2007-08-24,1.0,0.0,28.3,18.9,1656.214
2007-08-25,1.3,0.0,30.6,22.8,1150.88
2007-08-26,1.6,0.0,26.7,22.2,1314.906
2007-08-27,1.9,0.0,28.3,19.4,1211.73
2007-08-28,0.6,0.0,28.3,20.0,997.004
2007-08-29,0.9,0.0,29.4,19.4,747.992
2007-08-30,1.0,0.0,30.0,21.1,1202.458
2007-08-31,2.2,0.0,25.6,20.6,1279.822
2007-09-01,3.0,0.0,26.1,17.8,1701.486
2007-09-02,1.3,0.0,25.6,14.4,1662.468
2007-09-03,2.4,0.0,27.8,17.8,1038.922
2007-09-04,1.8,0.0,28.3,20.6,1584.944
2007-09-05,1.3,0.0,26.1,18.3,1236.572
2007-09-06,1.3,0.0,26.7,19.4,901.474
2007-09-07,2.2,0.0,30.0,21.1,1336.496
2007-09-08,2.3,0.0,31.1,21.7,1469.752
2007-09-09,2.0,0.0,29.4,21.7,1679.502
2007-09-10,1.4,3.3,26.1,22.8,1117.376
2007-09-11,2.1,30.7,23.3,20.6,983.572
2007-09-12,2.4,0.0,23.9,16.7,1287.764
2007-09-13,0.8,0.0,23.3,14.4,1146.382
2007-09-14,1.5,0.0,23.3,17.8,1135.47
2007-09-15,2.3,2.0,20.6,12.8,1095.312
2007-09-16,1.1,0.0,18.9,10.0,1652.224
2007-09-17,1.5,0.0,20.6,10.6,1461.186
2007-09-18,1.5,0.0,21.1,11.7,1167.52
2007-09-19,0.8,0.0,24.4,13.3,1298.684
2007-09-20,0.8,0.0,27.8,15.6,1255.532
2007-09-21,0.8,0.0,27.8,17.2,1238.78
2007-09-22,0.6,7.9,23.9,18.3,1176.172
2007-09-23,1.3,0.0,25.6,16.7,1417.97
2007-09-24,1.3,0.0,26.1,14.4,1354.53
2007-09-25,2.5,0.0,29.4,17.2,1764.342
2007-09-26,2.3,0.0,30.6,20.6,1822.264
2007-09-27,1.7,0.0,27.8,21.7,1392.6
2007-09-28,2.1,2.0,24.4,16.1,1680.498
2007-09-29,2.2,0.0,24.4,14.4,2296.522
2007-09-30,1.6,0.0,22.2,13.3,1516.29
2007-10-01,1.2,0.0,20.6,15.0,1720.922
2007-10-02,1.6,0.0,23.9,14.4,2198.864
2007-10-03,1.0,0.8,25.6,18.3,1280.454
2007-10-04,0.8,0.0,28.9,20.6,1518.458
2007-10-05,0.7,0.0,28.3,19.4,1394.092
2007-10-06,1.1,0.0,28.3,18.9,1756.24
2007-10-07,1.7,0.0,27.8,19.4,2106.114
2007-10-08,1.9,0.0,30.6,19.4,1095.242
2007-10-09,2.6,13.2,26.1,15.6,1687.858
2007-10-10,1.7,4.1,20.6,16.1,1166.972
2007-10-11,2.7,37.6,19.4,15.0,1732.446
2007-10-12,3.5,2.0,15.6,8.9,1914.504
2007-10-13,2.0,0.0,17.2,7.2,1926.728
2007-10-14,2.1,0.0,18.9,9.4,2061.252
2007-10-15,1.2,0.0,19.4,9.4,1266.33
2007-10-16,0.3,0.0,21.1,13.3,1964.442
2007-10-17,0.5,0.0,22.8,14.4,1576.93
2007-10-18,1.2,0.0,25.0,17.2,1518.53
2007-10-19,1.9,9.7,22.8,18.3,2085.648
2007-10-20,2.6,0.8,21.1,15.6,1660.246
2007-10-21,2.1,0.0,23.3,13.3,1941.94
2007-10-22,2.0,0.0,24.4,15.0,1652.896
2007-10-23,2.7,0.3,25.6,18.9,1954.648
2007-10-24,2.1,4.1,19.4,11.1,1865.636
2007-10-25,3.3,3.6,13.9,9.4,1853.918
2007-10-26,3.3,11.7,14.4,11.1,1437.568
2007-10-27,2.5,30.5,19.4,13.3,1785.688
2007-10-28,3.0,0.0,13.3,6.1,512.158
2007-10-29,1.3,0.0,11.7,3.3,545.428
2007-10-30,1.3,0.0,16.7,7.8,811.008
2007-10-31,2.0,0.0,17.8,9.4,1283.21
2007-11-01,0.0,0.0,18.9,10.0,496.216
2007-11-02,3.9,0.0,12.8,7.2,1443.602
2007-11-03,4.2,0.0,10.6,7.2,492.55
2007-11-04,1.8,0.0,13.3,7.2,1485.686
2007-11-05,1.9,0.0,13.9,6.7,1500.592
2007-11-06,2.9,13.2,13.3,6.1,2082.378
2007-11-07,2.3,0.0,9.4,3.9,1844.758
2007-11-08,0.6,0.0,7.8,1.7,1501.06
2007-11-09,1.5,10.4,6.7,3.9,2171.226
2007-11-10,2.4,3.3,7.8,2.8,2611.6
2007-11-11,1.6,0.0,7.8,-0.6,1887.124
2007-11-12,1.1,2.8,10.0,3.3,2156.146
2007-11-13,1.3,5.6,15.0,8.3,2214.398
2007-11-14,1.0,0.0,14.4,7.2,2047.994
2007-11-15,2.5,9.7,17.2,6.1,1491.988
2007-11-16,4.4,0.0,8.3,2.8,2309.754
2007-11-17,2.2,0.0,7.8,1.7,2610.094
2007-11-18,3.1,0.0,6.7,3.9,2183.858
2007-11-19,3.4,6.9,6.7,1.1,1723.654
2007-11-20,1.8,2.8,8.9,4.4,2095.856
2007-11-21,0.8,0.0,14.4,6.1,1751.836
2007-11-22,2.1,0.8,18.9,4.4,1932.378
2007-11-23,3.4,0.0,4.4,-1.1,2522.618
2007-11-24,1.7,0.0,3.9,-3.3,1899.054
2007-11-25,1.8,0.0,9.4,1.1,1395.598
2007-11-26,1.0,31.8,16.7,4.4,1569.716
2007-11-27,3.5,0.8,17.8,6.1,2801.012
2007-11-28,2.1,0.0,7.2,1.7,1644.94
2007-11-29,2.8,0.3,10.6,5.0,1719.23
2007-11-30,2.6,0.0,5.6,1.7,2331.728
2007-12-01,3.2,0.0,3.3,-3.9,3134.942
2007-12-02,1.4,8.4,2.2,-6.7,2946.188
2007-12-03,4.3,7.9,8.3,0.0,1762.06
2007-12-04,4.4,0.0,1.1,-2.2,2067.636
2007-12-05,1.9,0.5,0.6,-2.2,2153.12
2007-12-06,2.1,0.0,0.6,-6.1,2487.934
2007-12-07,1.6,0.0,1.7,-2.2,1769.016
2007-12-08,1.9,0.0,6.7,1.1,2213.404
2007-12-09,0.6,8.1,4.4,1.1,2274.584
2007-12-10,1.4,2.0,4.4,2.8,1758.754
2007-12-11,1.7,0.3,7.2,1.7,2305.104
2007-12-12,3.0,0.0,11.1,1.1,1588.062
2007-12-13,2.8,25.9,2.2,-1.7,1847.746
2007-12-14,1.4,0.0,5.6,-0.6,1974.808
2007-12-15,3.4,0.3,2.2,-1.7,2736.876
2007-12-16,5.7,21.3,3.3,-1.7,2762.218
2007-12-17,5.4,0.0,0.6,-3.3,1797.066
2007-12-18,2.3,0.0,2.8,-1.7,2623.194
2007-12-19,1.1,2.0,6.1,1.1,2196.052
2007-12-20,2.3,0.0,6.7,1.7,1949.758
2007-12-21,4.2,0.0,3.9,2.2,1982.576
2007-12-22,3.8,0.0,5.0,1.7,2611.264
2007-12-23,2.9,18.0,16.1,5.0,2409.048
2007-12-24,3.5,0.0,10.0,2.8,2257.848
2007-12-25,2.4,0.0,6.1,1.7,2694.968
2007-12-26,2.8,13.0,3.9,0.0,2580.28
2007-12-27,2.0,1.3,6.1,2.2,2532.198
2007-12-28,2.1,0.5,9.4,4.4,3113.052
2007-12-29,2.4,14.5,10.6,5.6,3298.956
2007-12-30,1.8,3.0,6.1,1.7,2558.916
2007-12-31,2.8,5.6,6.7,1.7,2216.542
2008-01-01,2.9,4.3,8.3,2.8,2759.738
2008-01-02,4.1,0.0,3.3,-8.3,1644.106
2008-01-03,2.9,0.0,-6.7,-11.1,1510.108
2008-01-04,2.5,0.0,2.2,-8.9,2291.852
2008-01-05,1.6,1.5,6.1,0.0,2183.248
2008-01-06,0.8,0.3,10.0,2.2,1825.184
2008-01-07,1.9,0.0,16.7,7.2,1695.814
2008-01-08,3.0,0.0,17.8,11.7,2043.55
2008-01-09,3.8,0.8,17.8,8.3,1788.44
2008-01-10,1.6,0.3,10.0,5.0,1894.076
2008-01-11,2.3,32.8,13.3,4.4,1705.818
2008-01-12,2.0,0.0,9.4,5.6,2871.408
2008-01-13,3.6,7.6,7.2,2.2,2881.656
2008-01-14,2.9,4.6,3.9,1.1,2024.932
2008-01-15,3.7,0.0,3.3,0.0,2686.912
2008-01-16,3.4,0.0,3.9,-1.7,2135.852
2008-01-17,2.6,6.4,3.9,-1.1,1572.282
2008-01-18,4.0,11.7,8.9,1.7,2186.988
2008-01-19,0.0,0.0,2.8,0.0,1980.306
2008-01-20,4.9,0.0,1.1,-8.3,1740.368
2008-01-21,3.6,0.0,-3.3,-9.4,1858.998
2008-01-22,3.1,0.0,3.9,-5.0,2325.018
2008-01-23,3.6,0.0,4.4,-1.1,1882.308
2008-01-24,2.3,0.0,1.1,-4.4,1645.022
2008-01-25,3.7,0.0,0.6,-6.1,2239.856
2008-01-26,1.7,0.0,1.1,-3.9,2834.988
2008-01-27,3.2,0.0,3.9,-1.1,2381.766
2008-01-28,3.0,0.0,5.6,-2.8,2308.196
2008-01-29,1.7,0.3,6.1,-1.1,2676.024
2008-01-30,4.6,2.0,9.4,0.0,1640.646
2008-01-31,3.1,0.0,3.3,-2.2,1953.922
2008-02-01,5.3,41.4,11.7,0.0,1534.652
2008-02-02,4.0,0.0,6.1,1.7,2936.034
2008-02-03,1.1,0.0,9.4,0.6,2084.568
2008-02-04,3.5,1.8,5.6,1.1,1628.138
2008-02-05,2.5,1.3,11.1,3.3,2472.456
2008-02-06,2.4,1.0,20.0,5.0,1669.54
2008-02-07,3.0,1.3,9.4,3.3,1518.31
2008-02-08,2.2,0.0,7.2,1.7,1950.564
2008-02-09,2.2,1.5,6.7,2.8,2102.276
2008-02-10,5.3,0.0,6.7,-9.4,2184.714
2008-02-11,5.7,0.0,-4.4,-12.2,1692.016
2008-02-12,2.2,14.0,-0.6,-8.3,1987.798
2008-02-13,2.7,49.3,12.2,-0.6,1900.498
2008-02-14,3.4,0.0,4.4,-2.2,1604.622
2008-02-15,3.6,0.0,8.3,-0.6,2005.208
2008-02-16,2.6,0.0,1.1,-5.0,2346.948
2008-02-17,3.5,5.8,11.7,-1.1,1933.368
2008-02-18,3.9,6.9,17.8,4.4,1514.404
2008-02-19,4.3,0.0,5.0,-2.2,2126.916
2008-02-20,3.3,0.0,0.0,-4.4,2253.79
2008-02-21,2.9,0.0,0.6,-6.7,1633.85
2008-02-22,2.7,17.8,1.1,-3.9,1732.564
2008-02-23,2.0,0.3,1.1,-2.2,1833.97
2008-02-24,2.2,0.0,3.9,-4.4,1263.008
2008-02-25,2.4,0.0,8.9,0.0,504.488
2008-02-26,1.9,5.3,8.3,3.3,507.12
2008-02-27,4.7,0.0,6.7,-5.6,566.72
2008-02-28,4.8,0.0,-2.2,-7.8,509.184
2008-02-29,3.2,3.6,1.7,-8.3,1333.348
2008-03-01,4.1,3.6,7.8,0.6,1141.876
2008-03-02,4.1,0.0,6.1,-2.2,1162.226
2008-03-03,2.7,0.0,12.8,2.2,1040.55
2008-03-04,3.0,4.8,17.2,7.2,1668.99
2008-03-05,4.7,7.6,13.9,2.8,2037.208
2008-03-06,2.5,0.0,9.4,1.1,2503.208
2008-03-07,3.5,30.7,7.2,2.2,1862.956
2008-03-08,3.6,19.1,13.9,2.2,2248.66
2008-03-09,5.4,0.0,5.6,-1.1,1560.458
2008-03-10,3.4,0.0,7.2,-2.8,1618.686
2008-03-11,2.4,0.0,9.4,1.7,2200.042
2008-03-12,4.1,0.0,8.3,1.7,1774.232
2008-03-13,2.4,0.0,7.2,-0.6,1675.514
2008-03-14,2.8,0.5,13.3,4.4,2210.22
2008-03-15,3.8,2.8,13.3,5.0,1576.3
2008-03-16,3.4,1.0,8.3,1.7,1801.96
2008-03-17,3.8,0.0,10.0,-1.1,1706.918
2008-03-18,3.4,0.0,6.7,1.7,1917.566
2008-03-19,2.7,24.1,11.7,5.0,1308.448
2008-03-20,5.5,5.6,14.4,2.2,1253.274
2008-03-21,5.6,0.0,7.2,0.6,2066.442
2008-03-22,3.2,0.0,10.0,1.1,2053.516
2008-03-23,2.6,0.0,8.9,-1.1,2325.99
2008-03-24,2.9,0.0,10.0,0.6,1974.668
2008-03-25,3.6,0.0,8.9,-0.6,2015.856
2008-03-26,3.1,0.0,16.1,6.1,1633.472
2008-03-27,1.1,0.0,9.4,6.7,1370.822
2008-03-28,3.5,0.3,8.9,3.3,1885.424
2008-03-29,4.1,0.0,8.3,0.6,2471.15
2008-03-30,2.8,0.0,9.4,-2.2,2146.392
2008-03-31,3.2,3.6,13.9,2.8,1377.57
2008-04-01,3.8,7.6,19.4,12.2,2129.052
2008-04-02,4.7,0.0,12.2,2.8,1691.672
2008-04-03,2.1,1.3,10.0,0.6,1128.756
2008-04-04,2.7,16.0,11.7,5.6,1631.918
2008-04-05,2.9,2.0,15.0,10.0,1970.762
2008-04-06,5.9,0.0,10.6,5.6,1696.318
2008-04-07,4.8,0.0,10.6,5.0,1538.838
2008-04-08,3.9,0.0,14.4,5.0,2657.516
2008-04-09,2.1,0.5,14.4,4.4,1218.852
2008-04-10,1.6,0.0,23.9,8.9,1477.746
2008-04-11,3.0,2.0,16.1,9.4,1877.664
2008-04-12,2.2,8.6,24.4,8.9,2800.014
2008-04-13,3.8,0.0,13.3,6.1,2232.986
2008-04-14,2.8,0.0,14.4,3.3,1589.582
2008-04-15,2.4,0.0,16.1,5.6,1670.406
2008-04-16,2.1,0.0,20.0,7.2,1489.064
2008-04-17,1.7,0.0,22.8,7.8,1395.862
2008-04-18,1.4,0.0,28.9,10.6,1862.39
2008-04-19,3.2,0.0,23.3,11.1,2253.71
2008-04-20,4.4,0.0,17.8,9.4,1791.418
2008-04-21,5.1,0.0,17.2,8.3,1164.156
2008-04-22,2.7,0.0,22.2,8.9,1627.676
2008-04-23,2.0,0.0,25.6,11.7,1357.328
2008-04-24,2.5,0.0,26.1,17.2,1043.772
