ID,Fault_Type,Phase,RMS_Voltage,Peak_Voltage,THD,Duration_ms,DWT_Energy_Level1,DWT_Energy_Level2,DWT_Entropy,Signal_Noise_Ratio_dB,Label
151,Harmonics,B,229.57,324.66,7.7,204,49.78,19.89,2.8,33.39,4
152,Normal,C,226.2,319.89,1.22,10,32.73,21.17,2.52,32.11,0
153,Harmonics,C,227.86,322.24,14.48,216,60.23,29.3,1.14,39.73,4
154,Normal,A,230.89,326.53,2.36,10,20.99,25.35,4.74,26.32,0
155,Normal,A,230.26,325.64,2.86,251,96.86,5.22,4.81,32.78,0
156,Normal,C,233.86,330.73,1.23,187,40.84,28.95,1.5,22.65,0
157,Transient,C,232.52,381.23,5.97,17,97.29,9.23,3.69,28.88,3
158,Harmonics,B,229.49,324.54,9.92,154,84.78,43.91,4.07,22.26,4
159,Normal,C,235.53,333.09,2.59,296,69.3,22.72,3.6,22.13,0
160,Transient,A,231.71,377.77,6.2,185,77.72,9.07,2.15,22.18,3
161,Sag,B,146.02,206.5,1.32,28,82.71,39.3,4.19,28.71,1
162,Swell,C,260.66,368.63,2.03,98,39.55,33.36,3.44,31.27,2
163,Swell,A,261.01,369.12,2.51,233,43.59,15.23,1.29,32.07,2
164,Sag,A,128.47,181.68,3.0,291,95.63,43.12,4.66,36.28,1
165,Normal,A,238.1,336.73,1.31,237,64.71,39.42,4.25,34.36,0
166,Swell,C,253.55,358.57,4.82,126,90.82,15.96,4.71,21.21,2
167,Harmonics,B,230.43,325.88,5.81,61,70.31,46.83,3.13,31.62,4
168,Sag,A,149.05,210.79,4.51,86,47.22,10.48,1.72,33.62,1
169,Sag,C,157.73,223.07,2.46,250,61.06,16.55,4.85,29.67,1
170,Normal,C,232.57,328.9,2.24,150,64.15,41.86,4.54,24.56,0
171,Normal,A,218.62,309.17,1.47,134,91.53,39.65,3.23,25.11,0
172,Transient,C,232.39,416.06,4.16,211,82.86,39.5,1.6,28.48,3
173,Harmonics,B,232.62,328.98,7.8,170,29.51,9.31,1.09,32.84,4
174,Transient,A,232.79,376.2,6.1,263,22.76,17.35,3.39,33.52,3
175,Sag,A,136.48,193.01,4.68,289,21.56,9.68,3.9,31.57,1
176,Harmonics,A,227.23,321.35,6.7,205,49.82,42.43,3.68,21.4,4
177,Harmonics,C,226.44,320.24,11.89,67,39.97,35.13,4.98,33.24,4
178,Normal,B,222.22,314.26,1.99,45,96.55,33.57,4.02,23.41,0
179,Sag,A,151.13,213.74,2.89,145,81.59,46.72,1.94,27.99,1
180,Harmonics,A,225.48,318.88,12.6,130,70.44,9.18,2.03,35.76,4
181,Normal,B,233.82,330.67,2.08,151,20.59,15.23,2.37,27.62,0
182,Sag,C,174.66,247.0,3.09,189,35.17,47.41,4.49,23.24,1
183,Swell,B,277.08,391.85,5.19,21,93.75,10.24,4.27,27.61,2
184,Sag,C,168.93,238.9,3.27,23,17.28,23.13,1.69,33.9,1
185,Sag,B,153.22,216.68,3.09,34,61.76,26.57,2.25,32.13,1
186,Normal,A,232.73,329.13,2.7,34,69.97,10.48,2.91,30.12,0
187,Transient,C,232.79,404.84,3.55,29,49.56,9.75,3.56,24.32,3
188,Sag,C,140.33,198.46,3.42,14,80.27,25.69,1.23,39.9,1
189,Harmonics,C,222.52,314.69,12.65,92,25.36,8.36,4.13,25.31,4
190,Transient,A,237.61,426.97,3.9,133,86.32,37.59,4.17,28.1,3
191,Harmonics,B,226.28,320.01,11.14,23,25.92,22.42,4.86,24.97,4
192,Swell,A,248.26,351.1,4.87,147,71.29,13.54,3.48,26.47,2
193,Sag,C,146.16,206.7,2.01,200,54.94,16.97,1.6,22.54,1
194,Sag,C,149.69,211.69,4.17,242,65.27,43.68,2.57,39.12,1
195,Normal,A,225.69,319.17,2.57,106,85.68,6.73,4.61,29.23,0
196,Swell,B,258.79,365.99,1.07,209,30.43,45.02,2.8,37.65,2
197,Harmonics,A,229.51,324.58,10.27,17,13.75,8.82,3.87,21.44,4
198,Swell,B,287.22,406.19,2.7,237,41.47,39.86,3.65,23.7,2
199,Swell,B,282.99,400.21,4.74,17,33.85,5.94,1.33,39.36,2
200,Normal,A,218.98,309.69,1.89,128,13.78,48.58,4.19,25.86,0
201,Sag,C,148.83,210.47,4.46,297,65.48,12.05,1.17,22.22,1
202,Sag,C,167.99,237.58,2.41,133,44.98,12.37,2.1,38.57,1
203,Transient,A,223.59,404.21,4.75,131,83.44,43.76,4.39,38.38,3
204,Sag,B,137.59,194.58,3.61,247,79.88,34.53,1.71,30.9,1
205,Swell,A,272.95,386.0,1.78,267,21.86,37.67,4.27,24.27,2
206,Swell,B,265.76,375.84,2.56,180,78.24,38.45,3.45,22.12,2
207,Harmonics,A,230.81,326.42,7.43,137,49.04,12.24,3.23,36.24,4
208,Transient,B,228.95,382.99,4.13,240,65.35,35.95,2.5,30.77,3
209,Transient,C,232.94,371.0,3.34,232,37.5,44.45,4.99,27.37,3
210,Harmonics,B,236.05,333.83,11.86,236,22.4,34.84,1.01,23.57,4
211,Sag,A,134.74,190.56,4.26,29,46.21,44.34,3.04,34.47,1
212,Harmonics,B,237.71,336.17,16.02,33,70.88,41.22,2.08,36.5,4
213,Normal,A,225.04,318.25,2.19,85,80.64,36.85,4.15,30.35,0
214,Harmonics,C,227.84,322.22,7.34,155,43.43,7.81,4.21,35.33,4
215,Normal,A,230.95,326.61,2.29,207,67.26,40.35,1.47,28.2,0
216,Transient,A,235.99,361.25,3.12,147,40.11,6.18,1.1,36.63,3
217,Harmonics,C,231.74,327.73,11.29,254,15.05,43.37,1.9,27.54,4
218,Harmonics,A,230.99,326.66,1.86,79,66.81,7.24,4.62,38.19,4
219,Normal,A,226.0,319.62,1.77,40,93.04,26.24,1.05,25.65,0
220,Sag,C,146.54,207.24,2.02,229,80.84,48.87,2.48,28.58,1
221,Normal,B,225.54,318.96,1.74,259,60.58,20.57,2.26,35.44,0
222,Sag,C,149.86,211.93,3.35,208,45.41,42.25,4.15,32.49,1
223,Harmonics,A,238.45,337.22,6.67,170,23.61,15.14,2.0,37.01,4
224,Normal,B,232.84,329.28,1.49,37,75.05,8.05,3.83,30.87,0
225,Sag,B,150.62,213.0,1.73,31,86.5,35.11,2.85,28.24,1
226,Harmonics,C,229.71,324.86,7.47,68,51.33,7.34,4.15,24.03,4
227,Harmonics,B,235.02,332.36,8.55,223,11.62,10.68,3.64,23.23,4
228,Swell,B,260.47,368.36,3.59,75,15.87,25.88,4.64,30.77,2
229,Transient,C,233.19,389.63,6.81,98,45.76,9.2,2.76,23.91,3
230,Transient,A,220.85,404.01,5.54,81,81.81,22.82,4.66,30.66,3
231,Sag,B,163.68,231.48,5.02,272,65.21,21.34,4.59,23.38,1
232,Normal,A,220.85,312.33,1.79,185,23.69,24.81,3.46,21.67,0
233,Normal,A,230.45,325.9,2.01,72,53.68,10.51,3.9,26.46,0
234,Transient,C,237.06,396.26,6.48,137,11.13,30.19,3.11,34.39,3
235,Sag,C,144.76,204.72,1.74,198,40.32,18.34,4.67,22.21,1
236,Transient,A,228.48,360.89,4.75,225,54.48,42.27,2.34,23.48,3
237,Harmonics,B,236.53,334.5,8.2,50,76.57,13.61,3.46,28.71,4
238,Normal,C,238.21,336.87,1.95,298,21.36,35.43,2.3,33.73,0
239,Transient,A,236.13,381.54,5.76,256,35.13,33.93,3.78,30.25,3
240,Harmonics,A,232.57,328.9,10.54,48,82.67,7.66,4.6,33.02,4
241,Swell,B,254.39,359.76,2.07,109,44.35,10.8,2.65,36.05,2
242,Swell,B,264.65,374.27,3.41,163,96.96,10.74,3.83,39.46,2
243,Swell,A,277.39,392.29,4.12,215,75.4,18.71,4.32,25.63,2
244,Transient,B,231.7,387.08,3.63,274,11.12,26.09,2.21,31.97,3
245,Swell,A,270.92,383.14,4.25,205,15.8,44.48,4.51,26.61,2
246,Normal,B,225.57,319.0,2.62,277,62.45,49.79,4.42,30.43,0
247,Harmonics,A,230.57,326.08,7.58,210,91.87,35.11,4.32,37.58,4
248,Normal,C,226.42,320.21,1.44,35,24.83,12.68,4.79,28.9,0
249,Normal,C,229.45,324.49,1.49,37,31.08,40.4,4.88,25.25,0
250,Sag,C,157.83,223.2,3.35,271,90.23,5.13,1.16,32.08,1
251,Swell,A,269.8,381.56,3.07,102,52.57,33.01,2.88,28.95,2
252,Transient,B,226.54,401.65,2.81,58,10.69,14.86,1.15,22.16,3
253,Sag,B,126.16,178.41,1.56,115,36.41,46.93,2.59,21.74,1
254,Normal,C,230.66,326.2,2.67,192,88.68,27.21,3.81,39.86,0
255,Harmonics,A,237.4,335.74,7.87,118,64.71,18.92,4.3,39.1,4
256,Sag,B,156.88,221.86,3.42,167,33.18,7.68,3.42,33.73,1
257,Sag,B,160.76,227.35,3.59,156,63.67,29.73,4.6,28.08,1
258,Swell,C,275.12,389.08,3.33,294,71.08,21.29,3.37,20.2,2
259,Sag,B,146.99,207.87,2.68,164,76.69,28.85,4.32,39.83,1
260,Sag,C,149.67,211.66,2.79,244,53.74,30.97,1.17,22.46,1
261,Normal,A,229.13,324.03,1.26,293,44.87,43.33,2.62,21.55,0
262,Normal,B,235.0,332.34,1.66,297,84.02,43.59,4.67,28.62,0
263,Swell,A,251.64,355.88,4.67,127,73.5,35.98,2.5,23.34,2
264,Harmonics,A,227.98,322.41,10.39,202,95.2,20.29,3.07,27.58,4
265,Swell,B,264.38,373.89,3.29,73,64.52,21.41,1.87,39.76,2
266,Normal,A,230.14,325.47,2.21,269,18.94,14.4,4.7,28.28,0
267,Swell,A,251.96,356.33,3.15,131,20.45,48.02,2.26,37.77,2
268,Transient,B,230.07,403.12,5.3,118,97.37,39.81,4.92,29.56,3
269,Harmonics,C,226.11,319.77,14.72,51,84.41,36.91,1.71,30.15,4
270,Transient,C,231.25,412.7,4.24,101,62.47,49.99,1.6,36.34,3
271,Transient,A,231.46,417.99,7.94,17,13.55,26.4,3.17,24.55,3
272,Swell,A,281.27,397.78,3.75,56,88.3,10.88,4.16,22.5,2
273,Normal,B,232.34,328.58,1.82,21,97.26,47.71,3.05,21.87,0
274,Transient,B,239.84,405.11,6.57,237,35.72,14.15,4.05,27.73,3
275,Swell,A,267.78,378.7,4.17,188,90.5,25.52,2.77,32.04,2
276,Transient,C,229.47,427.81,3.47,22,97.44,14.93,3.94,35.25,3
277,Harmonics,A,226.03,319.65,16.72,213,82.4,17.54,1.84,39.15,4
278,Swell,C,274.6,388.34,2.96,76,76.41,42.54,3.96,22.86,2
279,Harmonics,A,234.28,331.33,11.4,173,73.0,9.7,2.6,34.46,4
280,Transient,C,232.43,386.5,4.78,81,19.99,41.37,4.79,21.45,3
281,Harmonics,B,226.42,320.21,11.01,243,31.8,26.52,1.58,34.2,4
282,Transient,C,228.6,420.55,3.82,36,11.98,31.25,4.37,30.98,3
283,Harmonics,C,227.65,321.94,14.44,192,55.28,25.22,3.34,32.5,4
284,Transient,B,227.61,408.51,8.33,62,82.36,29.86,3.08,22.86,3
285,Sag,B,138.77,196.25,2.68,257,66.66,7.44,3.99,26.35,1
286,Normal,B,226.87,320.84,2.01,218,15.64,42.77,1.02,24.94,0
287,Normal,A,229.15,324.07,2.07,171,38.2,40.5,4.57,28.68,0
288,Normal,C,233.02,329.53,1.92,195,13.81,30.41,4.72,36.88,0
289,Sag,C,145.86,206.27,2.39,22,26.45,17.53,1.52,33.52,1
290,Normal,C,226.91,320.9,1.84,220,67.97,7.17,2.44,39.14,0
291,Transient,C,229.63,422.23,5.43,245,10.26,43.65,1.74,31.04,3
292,Transient,A,225.83,392.07,5.72,175,52.51,44.61,1.86,33.56,3
293,Harmonics,C,229.51,324.57,8.7,283,76.34,48.86,1.21,33.64,4
294,Normal,C,228.36,322.95,2.3,22,15.23,10.02,3.06,25.35,0
295,Harmonics,B,224.59,317.62,12.37,289,85.44,36.92,4.8,20.63,4
296,Swell,B,277.79,392.85,1.09,33,75.24,44.49,1.17,27.95,2
297,Normal,C,235.27,332.72,1.64,113,21.84,43.57,3.3,21.53,0
298,Normal,A,228.23,322.77,1.71,162,79.58,28.31,2.39,27.43,0
299,Swell,C,275.91,390.2,5.49,169,90.87,40.24,4.12,29.16,2
300,Swell,A,266.04,376.24,3.32,166,32.19,26.78,3.99,29.48,2
301,Sag,C,151.52,214.28,3.03,142,57.77,34.29,3.58,31.23,1
302,Normal,C,233.31,329.95,1.57,35,86.25,19.18,2.1,39.63,0
303,Transient,B,237.9,379.7,3.78,225,75.25,29.25,1.24,33.8,3
304,Sag,B,137.42,194.35,2.16,170,96.21,28.83,1.97,30.01,1
305,Harmonics,B,240.45,340.04,10.32,95,78.48,29.61,1.72,29.17,4
306,Swell,A,274.12,387.66,3.3,244,70.69,11.16,4.98,30.54,2
307,Transient,C,223.84,384.77,5.46,261,99.53,37.03,4.92,31.39,3
308,Swell,C,278.23,393.48,3.42,163,11.28,42.32,3.93,27.1,2
309,Normal,B,230.13,325.46,2.29,256,45.35,43.44,4.09,26.2,0
310,Normal,B,237.43,335.78,1.89,102,54.9,5.54,1.04,27.14,0
311,Transient,B,233.14,374.61,3.96,64,75.6,9.29,2.71,20.58,3
312,Swell,C,259.16,366.5,7.0,250,67.19,9.08,1.13,21.15,2
313,Swell,A,255.37,361.14,4.28,125,44.77,30.82,2.66,36.95,2
314,Normal,C,222.8,315.09,2.01,50,13.5,6.62,1.7,37.34,0
315,Harmonics,C,225.23,318.52,8.91,158,56.5,39.14,2.13,27.06,4
316,Sag,C,135.38,191.46,2.81,93,54.78,14.21,3.36,23.72,1
317,Swell,B,279.22,394.87,3.07,280,89.15,25.7,1.38,36.53,2
318,Harmonics,B,230.43,325.88,12.7,13,23.64,44.41,3.16,25.65,4
319,Harmonics,A,233.72,330.53,12.07,147,28.05,14.16,1.04,28.75,4
320,Swell,C,244.42,345.66,4.61,178,86.36,24.02,2.21,26.51,2
321,Normal,A,225.46,318.85,1.57,56,82.6,49.32,4.02,27.86,0
322,Harmonics,C,225.38,318.74,8.94,296,77.84,5.93,2.08,30.35,4
323,Normal,C,224.81,317.93,2.33,162,21.69,30.2,4.12,34.17,0
324,Swell,B,254.97,360.58,4.11,113,26.22,9.42,4.21,22.44,2
325,Sag,A,148.17,209.54,3.67,260,14.67,11.4,1.85,33.3,1
326,Harmonics,C,232.11,328.25,11.32,118,95.24,27.33,2.52,23.26,4
327,Transient,C,233.89,394.12,4.89,87,73.33,48.66,2.75,24.7,3
328,Swell,A,288.82,408.46,3.51,177,14.65,27.72,3.87,37.25,2
329,Harmonics,C,230.94,326.59,10.69,160,38.49,41.74,3.01,21.42,4
330,Swell,A,256.55,362.81,4.18,122,11.78,22.58,1.77,28.23,2
331,Normal,A,235.05,332.4,1.91,127,32.24,21.01,1.34,26.67,0
332,Harmonics,B,230.82,326.43,9.88,88,20.46,40.14,4.14,32.02,4
333,Transient,B,225.18,380.86,5.52,71,56.68,13.07,4.88,22.27,3
334,Normal,A,229.76,324.93,2.45,228,56.77,8.33,3.42,30.34,0
335,Swell,B,280.35,396.48,2.58,175,97.17,32.16,1.31,21.51,2
336,Transient,C,224.98,389.07,4.59,93,18.29,29.9,3.57,34.08,3
337,Swell,B,281.9,398.67,4.51,242,57.32,16.23,1.01,23.48,2
338,Swell,B,267.85,378.8,3.78,107,43.62,7.27,3.51,27.71,2
339,Normal,B,233.51,330.23,2.03,82,85.58,13.48,3.69,39.54,0
340,Normal,B,238.5,337.29,1.99,253,77.35,46.15,2.74,25.17,0
341,Harmonics,C,215.9,305.33,11.75,257,30.63,29.61,3.68,34.02,4
